Produktnummer;Lieferantenproduktnummer;Produktname;Lieferantennummer;Standardlieferant;EK (netto);Mindestabnahme;Abnahmeintervall
103229;307-3060;Ölentlüfter, Entlüftung Kurbelgehäuse, T3 1,9-2,1L Benziner ab Bj. 08/82 OE Ref. 025115451;70019;no;41.83;;1
103531;180-1190;Zierleisten Set 6-teilig in Chrom für Caddy 14D;70019;no;75.54;;1
100801;120-4000;Schlauch, Einfüllstutzen - Tank,  Golf 1 & Co mit Vergaser, OE Ref. N90119601;70019;no;8.46;;1
SW10706;320-3180-09;Abgasrohr vorn, Edelstahl, T3 Syncro 2,1L mit MKB DJ/MV/SR/SS OE Ref. 025251171AB;70019;no;241.00;;1
101665;307-4055-32;Haltebügel für die Wasserrohre am Unterboden T3 ab 07/1985 OE Ref. 251121097A;70019;yes;2.84;;1
101441;180-7410-08;Unterlage bzw.  Dichtung für Außenspiegel Golf 1 & Co OE Ref. 171857543A;70019;yes;2.07;10;1
SW11678;020-4460-40 -2stück;Spreizmutter für Blinkleuchte seitlich am Kotflügel, Golf & Co, OE Ref. 111953170;70019;yes;0.39;10;1
SW10217;180-4032;Verdeckdichtung, hinten, rechts Golf 1 Cabrio OE Ref. 155871370D;70019;yes;42.35;;1
101913;315-1519-10;Führungsring für Schaltgestänge hinten T3 bis 07/82 OE Ref. 251711227;70019;no;2.84;;1
101074;180-4014-12;Dichtung für Verdeckspitze Golf 1 Cabrio ab Bj.08/1984 OE Ref. 155871349C;70019;no;87.80;;1
101274;020-2095-08;Unterlagen (2 Stück) zwischen Wasserkühler unten und Frontmaske, Golf & Co und T3, OE Ref. 171121276;70019;yes;0.29;30;1
101581;140-3950-16;Distanzhülse für Stoßdämpfer hinten, Golf 1 &Co, OE Ref. 171512117;70019;no;4.38;15;1
103409;180-0440wechsel VH;Halter für Metall Stoßstange vorne oder hinten Golf 1 OE Ref. 171807113;70019;yes;12.00;;1
101237;055-7080-24;Seilzug für Sitzentriegelung außen 342mm Golf 1& Co bis Bj. 07/80 OE Ref. 171881595A;70019;yes;4.37;3;1
102975;315-1495;Kontaktgeber am Automatik-Wählhebel, Golf &Co, Passat und T3, OE Ref. 171927145A;70019;yes;8.30;;1
101643;110-0930-20;Halter für Zahnriemenschutz Diesel Golf & Co Passat T3 OE Ref. 068109179;70019;yes;11.34;;1
101819;180-1012-10;Schließbolzen für Tür Caddy 83-92 und Cabrio ab 08/1987 OE Ref. 155837034;70019;yes;4.25;10;1
103172;390-0055-02;Reparaturblech Ecke hinten rechts, unterer Teil, Höhe ca. 75cm, T3 OE Ref. 251813368A;70019;no;42.38;;1
102715;020-0491-32;Klemmschelle für Kühlwasserschläuche mit D ca 30mm, Golf & Co und T3, OE Ref. N0164041;70019;no;1.11;30;1
SW11810;021-0199-94;"Aufkleber ""TURBO DIESEL"" grau am Ventildeckel, Golf & T3, OE Ref. 068010044H";70019;yes;1.76;;1
101473;180-6924-02;"Steinschlagschutzfolie (gepunktet) am Radlauf hinten rechts, Golf 1 Cabrio "" Karmann"", OE Ref. 15585";70019;no;12.41;;1
SW11460;020-4686;Federn Satz für seitliche Spannseile am Verdeck, Golf 1 Cabrio, OE Ref. 151871953A;70019;yes;5.66;2;1
101836;180-1150-40;Clip für Seitenschweller Golf 1 Cabrio ab Baujahr 08/1987 OE Ref. 155853147A;70019;no;1.51;;1
102093;180-4405-01;Blende für B-Säulen Dichtung, Links, Golf 1 Cabrio, OE Ref. 155847347;70019;yes;3.76;;1
102578;320-7180;Tankeinfüllstutzen 39 mm für T3 OE Ref. 251201121D;70019;yes;27.18;1;1
100604;208-7200;Dichtung für Windschutzscheibe ohne Nut für Keder Golf 2 &Co OE Ref. 191845121;70019;no;17.03;1;1
SW11637;020-5498-10 set5stück;Klammer für Schiebedach Verkleidung Innen, Golf &Co, T3, OE Ref. 191877281;70019;yes;0.51;25;1
100997;110-2370-15;Benzinschlauch, Kraftstoffpumpe zu Druckspeicher, K-Jetronic, Golf 1 &Co OE Ref. 171201220D;70019;no;;;1
101789;170-1500;Gaszug Golf 1 &Co 1,1L Hubraum bis Bj. 07/79 Schaltgetriebe  OE Ref. 171721555N;70019;yes;10.64;1;1
101233;330-1265;Stabilisatorstütze vorne beidseitig T3 ab Bj. 08/1984 OE Ref. 251411051A;70019;yes;9.24;1;1
SW11504;020-5498-30;Gleitschuh für Schiebedach, Golf 1 &Co, OE Ref. 411877145;70019;yes;3.62;2;1
103801;186-2122;Reparaturblech für Unterholm bzw. Schweller, rechts, 4-Türer, Golf 2, OE Ref. 193809848;70019;no;13.24;;1
102616;390-0610-02;Aufnahme für Querlenker, hinten rechts außen, T3 OE Ref. 251803198;70019;no;29.15;;1
101794;110-0930-10;Bundmutter für Zahnriemenschutz Golf & Co Passat Benziner ab 1,5L Hubraum OE Ref. 049109207;70019;yes;1.95;10;1
103012;307-4033;Thermostatgehäuse für T3 1,9l und 2,1l ab Bj. 1985 OE Ref. 025121115;70019;no;25.80;;1
101595;020-0491-40;Klemmschelle für Kühlwasserschläuche mit D ca. 40 mm, OE Ref. N0164101;70019;no;1.40;25;1
SW12211;021-0199-98;Aufkleber, Schriftzug Westfalia für Aufstelldach, T4 Bus OE Ref. 701070914;70019;yes;7.77;;1
101457;020-4252-42-kommentarfeld nutzen, Lieferung unverpackt 250 Stk.;Mutter M12x1,5 SW 17, für Federbein Golf 1 &Co, OE Ref. N0111351;70019;yes;0.42;100;1
103410;020-3110;Flachrundschraube in Schwarz M8X15 mm für Stoßstangenhalter, Golf 1 &Co, OE Ref. 113707191C;70019;no;0.75;;1
103069;020-5297-06;Abdeckkappe, Blindstopfen 32/40 mm Golf &Co T3, OE Ref. 311867235 01C;70019;yes;1.77;;1
103256;325-3720-01;Druckstange, Einsteller Trommelbremse hinten links, T3, OE Ref. 281609801B;70019;yes;19.48;2;1
103598;160-3660;Führung für Bremszug an Bremsträgerblech Golf &Co, Polo und Passat OE Ref. 321609763;70019;yes;2.72;;1
101635;340-6370-12;Deckel für Scheibenwaschbehälter vorne T3 OE Ref. 251955455;70019;yes;4.19;;1
101670;180-1268-02;Vorreiber, Hebel für Ausstellfenster Rechts Golf 1 &Co Polo und T3 OE Ref. 171837658;70019;yes;41.78;1;1
100402;180-1140-22;Dichtung zwischen Benzineinfüllrohr und Karosserie Golf 1 &Co ab Baujahr 08/1983 OE Ref. 171201119F;70019;no;3.90;;1
101720;170-0814;Tülle für Kupplungszug an Stehwand, Golf 1 &Co, OE Ref. 171721380;70019;no;4.18;;1
SW10826;340-6370-08;Einfüllstutzen für Spritzwasserbehälter, vorne, T3 OE Ref. 251955488;70019;yes;7.54;;1
101608;020-2380;2 Distanzstücke 13mm für Fensterkurbel inkl. Schrauben Golf & Co und T3;70019;yes;4.97;20;1
102364;330-1118;Tellerscheibe für Zugstrebe am Querlenker, vorne, unten, T3, OE Ref. 251407069;70019;no;3.27;30;1
102813;307-0350-14;Stehbolzen, Kopfschraube für Kurbelgehäuse, 175mm, M12x1.5/M10, T3, OE Ref. 025101143B;70019;no;10.60;;1
SW10213;180-4012;Verdeckdichtung, Tür oben, rechts Golf 1 Cabrio OE Ref. 155871358E;70019;yes;39.92;2;1
103730;350-5405;Dichtung Seitenscheiben hinten, beidseitig, ohne Nut für Keder, T3 OE Ref. 253845341;70019;yes;15.38;1;1
SW12344;325-4015;Halteclip für Handbremsseil T3 bis Bj. 05/83, OE Ref. 251609719A;70019;yes;;;1
101564;360-4132-08;Schließbolzen für Fahrer- und Beifahrertür T3 bis Bj. 1981 OE Ref. 251837035;70019;yes;3.58;1;1
100477;020-5188;Spritzwasserdüse vorne, Golf 1 & Co, bis Baujahr 07/1987, OE Ref. 111955993A;70019;no;2.11;;10
101801;170-2492-10;Reparatursatz für Antriebswellenflansch, Golf 1 &Co, bis BJ 10/83, 36x58x15mm, OE Ref. 020498085;70019;yes;2.15;1;1
101093;307-4055-90;Verbindungsrohr Kühlwasserschlauch für Heizung, Golf 1 &Co, OE Ref. 171121140D;70019;no;3.08;;1
SW11350;370-6117-02;Schmutzfänger Vorne Rechts, T3 Syncro OE Ref. 251821810A;70019;yes;60.60;;1
102968;330-4367;Riemenscheibenhälfte für Servopumpe T3 Diesel und Turbodiesel OE Ref. 068145255C;70019;yes;15.91;4;1
101696;330-1239- puffern bis jp Lieferbar;Teller für Stoßdämpfer hinten Golf & Co bzw. Stabilisator T3 vorne, OE Ref. 171512337;70019;no;3.02;;1
100833;180-4052-15;Fensterschachtdichtung, innen, vorne / hinten, Golf 1 Cabrio, OE Ref. 155837475B;70019;no;15.66;;1
101277;010-3097-06;Einstellmutter M6 für Handbremsseil, Golf & Co und T3, OE Ref. 111711349;70019;yes;0.74;;1
SW11749;380-0255-02;Scheibe Grün, Glas für Dreh- bzw. Ausstellfenster Rechts T3 OE Ref. 253845256;70019;yes;19.63;;1
102534;325-2420;Halter für Bremsschlauch T3 Vorderachse ab Bj. 08/1986 OE Ref. 251611841C;70019;yes;1.99;1;1
103179;186-0141;Reparaturblech für Radlauf, 4-Türer, hinten links, Golf 2, OE Ref. 193809833;70019;no;16.39;;1
102175;020-0491-27;Klemmschelle für Kühlwasserschläuche mit D ca. 25 mm, OE Ref. N0164031;70019;no;0.90;10;1
102281;055-5080-16;Rückenlehnenpolster, Golf 1 &Co, bis 07/84, OE Ref. 171881775Q;70019;yes;42.52;1;1
100729;350-5715;Dichtung für Heckscheibe, T3 Pritsche und DoKa, OE Ref. 245845521;70019;no;22.37;;1
100996;120-4002;Tankschlauch, Einspritzer Golf 1 &Co, OE Ref. 533201219;70019;no;16.00;;1
102396;055-7094-24 achtung preis pro 2Stück;Zugfeder für Rastbolzen vom Sitzgestell, vorne unten, Golf & Co, Polo, OE Ref.113881275C;70019;yes;1.32;;2
103249;330-3580-40;Federunterlage, Polyurethan, 3 mm, hinten, unten T3 OE Ref. 251511139;70019;no;20.00;;1
102908;390-0646-01;Aufnahme für Wagenheber vorne Links T3 OE Ref. 251803229;70019;no;17.87;;1
102389;020-0491-42;Klemmschelle für Kühlwasserschläuche mit D ca.42 mm, OE Ref. N01641012;70019;no;2.00;20;1
102426;180-1172-10;Zierleisten Set 2-teilig in schwarz für den Schweller beidseitig Golf 1;70019;no;19.73;;10
SW10179;160-2626;Halter für Bremsleitung, 2-fach aus Gummi, dicke Ausführung, Golf 1 &Co, OE Ref. 171611869;70019;no;;;1
SW10973;020-4460-35;1 Satz Schrauben für Blinkerglas, Golf 1, Golf 2, 4.2x22mm;70019;yes;0.87;10;1
102300;090-3058-18;Distanzhülse, Hülse Radlager, T3, OE Ref. 211501281E;70019;yes;5.54;1;1
101723;370-7100-02;Zierleiste rechts, A-Säule der Beifahrerseite, schwarz, T3 OE Ref. 251853706 1BG;70019;no;25.58;10;1
101238;055-7080-12;Zug für Sitzentriegelung  innen 568mm Golf 1 &Co bis Bj. 07/78 OE Ref. 171881596A;70019;yes;4.37;1;1
100269;315-1508;Schaltfinger für hintere Umlenkung der Schaltung ab 08/1982 OE Ref. 251711221F;70019;no;7.04;;1
101793;308-0005-20;Ölablassschraube M16 für Ölwanne T3  Diesel und Turbodiesel OE Ref. 068103193A;70019;yes;2.84;15;1
100839;350-0212;Dichtung für Motorklappe T3 OE Ref. 251813133B;70019;no;12.02;;1
SW12526;020-2517-25;Sechskantschraube, M12x1,5x95 mm, Golf 2 Syncro, Hinterachse, OE Ref. N0101913;70019;yes;1.80;10;1
101596;020-0491-23;Klemmschelle, für Schläuche mit 22,0 mm, OE Ref. N0164021;70019;no;0.90;30;1
100843;020-4700;Verdeckgriff mit Sicherungsriegel, Golf 1 Cabrio, OE Ref.155871384D;70019;no;81.96;;1
101229;350-6205 / nicht bestellen, Quali;Dichtung für Türbegrenzer, Golf 2 &Co, T3, Passat 32b, OE Ref. 867837267;70019;no;5.46;;1
SW12455;180-4405-02;Blende für B-Säulen Dichtung, Rechts, Golf 1 Cabrio, OE Ref. 155847348;70019;yes;3.76;;1
101279;160-3700;Befestigungssatz für Bremstrommel Golf  &Co OE Ref. 803501221 und  N0111671;70019;yes;1.62;10;1
101066;185-0363-04;Tankrohr, Einfüllstutzen, Golf 1 Cabrio ab Bj. 08/83 mit 55L Tank, OE Ref. 155201129C;70019;no;67.50;;1
101531;110-1695-08;Luftführungspappe oben, 558mm, Golf 1 &Co, ab Bj. 08/1981, OE Ref. 171121293G;70019;no;20.00;;1
SW11326;010-0018;Pleuelschraube T3 1,6-1,9L bis Bj. 1985 OE Ref. 113105425;70019;yes;2.81;;1
101222;180-7395;Dichtung für Stegblech / Wasserabweiser & Motorhaube, Golf 1 &Co, OE Ref.171819519C;70019;no;5.41;1;1
101669;180-1268-01;Vorreiber, Hebel für Ausstellfenster Links Golf 1 &Co Polo und T3 OE Ref. 171837657;70019;yes;41.78;1;1
100776;370-2200-10;Anbausatz für Stoßstangenecke T3 OE Ref.251898065;70019;no;3.79;;1
102811;307-0353-08;Hutmutter für Stiftschraube bzw. Stehbolzen, M10, T3, OE Ref. N90184101;70019;yes;2.07;;1
102165;190-5505;Sicherung Schlauch Scheibenwaschanlage, Golf &Co, Polo, Passat, T3, T4, OE Ref. 443955665;70019;no;2.65;;1
103648;350-5705;Dichtung für Heckscheibe, ohne Nut für Keder, T3, OE Ref. 251845521;70019;yes;12.18;1;1
101134;370-3841;VW-Zeichen, Emblem hinten, Chrom, T3 ab Bj 08/1988, OE Ref. 251853601B;70019;no;16.72;;1
101379;180-0510-38;Linsenblechschraube H5X17 Golf 1 Cabrio, T4, OE Ref. 155853149;70019;no;0.80;;1
101479;020-4430-32;Steckergehäuse für H4 Scheinwerfer inkl. Kabelschuhe, Golf &Co OE Ref. 161941165A;70019;yes;1.11;20;1
102322;330-3560-14;Buchse für Stossdämpfer Vorderache Rechts oder Links T3 OE Ref. 251413439C;70019;no;2.73;;1
103411;020-3107;Flachrundschraube in Chrome M8X15 mm für Stoßstangenhalter, Golf 1 &Co, OE Ref. 113707191C;70019;yes;0.86;;1
101187;180-1166;Zierleisten in Rot für Kühlergrill Golf 1 & Co GTI OE Ref. 171898655;70019;no;82.93;;1
101230;027-0549;Einzieher bzw. Montagewerkzeug für Chromkeder OE Ref. 011898109A;70019;yes;4.77;;1
100236;180-7204;Muffe für Chromkeder, Golf 1 &Co und T3, OE Ref. 171853339A;70019;yes;1.95;;1
103300;180-0482-10;Distanzhülse für Frontspoiler GTI Golf 1 &Co OE Ref. 531805917;70019;yes;2.07;;2
102793;360-4250;Gepäckstangen Satz für Heckklappe, T3, OE Ref. 251898002;70019;yes;59.60;;1
102622;315-1414;Anschlagplatte für 4-Gang Schalthebel T3 OE Ref. 251711176;70019;yes;9.20;2;1
101075;180-4014-10;Dichtung für Verdeckspitze, schmal, Golf 1 Cabrio bis 07/1984, OE Ref. 155871349A;70019;yes;57.05;2;1
SW12283;180-4893;Klammer für Verdeckdichtung, Golf 1 Cabrio, OE Ref. 155871439;70019;yes;2.55;8;1
SW10827;340-6370-10;Mutter für Einfüllstutzen vom Spritzwasserbehälter vorne, T3, OE Ref. 251955461;70019;no;1.87;;1
101484;200-5433;Spannseil für Verdeck, hinten, Golf 1 Cabrio, OE Ref. 155871957A;70019;yes;10.44;1;1
100679;190-2705-10;Leuchtmittel, Glühlampe, 2 Watt, für Instrumenten-Beleuchtung, OE Ref. 431919040A;70019;no;1.39;;1
101334;140-5530-16 / JP wenn verfügbar & Hersteller;Stützring Lenkrohr unten für mechanische Lenkung Golf 1 &Co OE Ref. 171419539;70019;no;4.80;;1
SW10215;180-4022;Verdeckdichtung, mitte, rechts Golf 1 Cabrio OE Ref. 155871362D;70019;yes;50.57;;1
103731;170-1525 / heritage wenn verfügbar;Gaszug, für Einspritzer ab BJ84, Golf 1 GTI &Co, OE Ref. 171721555AB;70019;no;11.21;1;1
101259;307-4050-44;Kühlwasserschlauch vom hinteren Rohr zum Vergaser T3 Syncro 1.9L ab Bj. 08/85 OE Ref. 025121060A;70019;no;8.38;;1
102284;055-7060;Führung für Kopfstütze Golf 1 &Co, T3 und T4,  OE Ref. 811881939;70019;no;5.95;10;1
101223;180-7026;Dichtung für Heckklappe, Golf 1 Cabrio, OE Ref. 155827705;70019;yes;12.18;8;1
100883;020-5004;Schlauch zwischen Einfüllstutzen und Tank Passat 32B  OE Ref. 311201219A;70019;yes;6.90;2;1
100148;180-0505-01;Kühlergrill Ecke, Links, Golf 1 &Co, OE Ref. 171853655B;70019;no;5.50;;1
SW11351;370-6117-31;Schmutzfänger Hinten Links, T3 Syncro OE Ref. 251821811B;70019;yes;60.60;;1
100373;110-1516-08 / umstellen wenn bei VWH lieferbar;Riemenscheibe für Wasserpumpe ohne Servolenkung 1.5L-1.8L Hubraum OE Ref. 026121031;70019;no;4.94;;1
102338;330-1180-27;Kegelring für Querlenker vorne unten T3 OE Ref. 251413097;70019;yes;2.69;;1
102329;330-3580-42;Unterlage für Fahrwerksfeder, Hinterachse Oben T3 Bus, T4 Bus, OE Ref. 7D0511147A;70019;no;15.00;;1
101257;307-4085-04;Deckel für Kühlwasserausgleichbehälter T3 bis Bj. 12/1983 OE Ref. 025121321;70019;no;6.74;;1
103692;020-2477-05;Schloss Handschuhfach, komplett, 2 Schlüssel, T3, OE Ref. 133857131B;70019;no;22.76;1;1
101272;360-4015-42;Rollenführung für Schiebetür unten rechts T3 OE Ref. 251843406A;70019;yes;72.32;1;1
SW11462;180-1510;Blinddeckel für Schalteröffnung am Armaturenbrett, Golf 1 & Co ab 08/80 und T3, OE Ref.: 861957087;70019;yes;1.86;;1
103176;186-2220;Reparaturblech, Heckblech, unterer Teil, Golf 2;70019;no;16.57;1;1
101231;330-1205;Schelle für Stabigummi  T3 ab Bj. 08/1984  OE Ref. 251411063A;70019;no;4.19;1;1
101239;097-0998-24;Bolzen inkl. Sicherungsring für Türfangband T3 OE Ref. 211837257B;70019;yes;1.21;20;1
103065;208-1092-10;Clip, Klammer für Haubenzug oder Spritzwasserschlauch, Golf 2 &Co, OE Ref. 191823567;70019;yes;1.60;;1
100728;208-7240;Dichtung für Heckscheibe, ohne Nut für Keder, Golf 2,  OE Ref. 191845521;70019;no;17.03;;1
102324;330-3560-24;Tellerscheibe für Stossdämpfer Vorderache Rechts oder Links T3, T4, OE Ref. 251413431;70019;no;4.13;;1
101481;180-1075;Haubenschloss Unterteil Golf 1 &Co bis Bj. 07/1983 OE Ref. 171823509;70019;no;14.35;2;1
102904;390-0056-01;Reparaturblech D-Säule unten, hinten Links T3 OE Ref. 251813367;70019;no;26.71;;1
SW11682;160-3650-11;Druckstange, Trommelbremse links, Golf 1 & Co, Polo und Passat bis Bj. 07/1978, OE Ref. 171609803;70019;yes;10.02;2;1
101297;180-7068-02;Dichtung für Ausstellfenster der Beifahrertür, Golf 1 &Co, OE Ref. 171837530B;70019;yes;66.18;2;1
100488;180-1098-20;Anschlagpuffer für Motorhaube, seitliche Führung, Golf 1 &Co, OE Ref. 171823493;70019;no;3.20;;1
101445;140-0958-10 - puffern dann umstellen;Spannbügel passend für Stabilisatorschelle, Golf 1 &Co,  OE Ref.171511453;70019;no;2.68;;1
103614;055-7080-18;Zug für Sitzentriegelung, innen, 768mm, Golf 1 &Co ab Bj. 07/78, OE Ref. 171881596D;70019;yes;3.83;;1
101798;020-1322;Schwimmer für Vergaser 31PICT und 34PICT Golf 1 &Co und T3 OE Ref. 070129391;70019;yes;13.75;2;1
101248;020-2000-13;Blinddeckel für Schalteröffnung am Armaturenbrett, Golf 1 & Co bis 07/80 und T3, OE Ref.: 133957087;70019;yes;3.56;1;1
SW10770;360-6180-10;Befestigungsbolzen Rückenlehne, T3, OE Ref. 253885589A;70019;yes;5.50;2;1
101226;370-3671;Klemmstift , Befestigungsstift für Kühlergrill oben T3 OE Ref. 251853731;70019;no;1.82;10;1
103079;185-2062;Reparaturblech, Tür Unterkante rechts, 2-Türer, Golf 1 & Cabrio;70019;no;19.16;1;1
101472;180-6924-01;"Steinschlagschutzfolie (gepunktet) am Radlauf hinten links, Golf 1 Cabrio ""Karmann"", OE Ref. 1558538";70019;no;12.41;;1
101104;020-2324;Rahmen Türbetätigung innen, schwarz, Golf 1 & Co, T3, OE Ref. 111837239B;70019;no;4.52;;1
100139;180-6920-42;Kennschild für Tankeinfüllstutzen Golf 1 Cabrio, Scirocco 53B OE Ref. 155010024P;70019;yes;2.84;20;1
101676;170-1603- wird als paar angeboten, bestellmenge beachten;Lagerbuchse für Gaspedal Golf 1 & Co OE Ref. 823721543;70019;yes;1.28;50;2
101258;350-2512;Türdichtung zwischen Türoberkante und A-Säule, Golf 1 & Co, T3,  OE Ref. 171837913F;70019;yes;5.90;1;1
101119;208-7100-02;Fensterschachtdichtung, vorne rechts / hinten links, 2/4-Türer, Golf 2 &Co, OE Ref. 191837478A;70019;no;13.06;;1
101815;140-0958 / Nach Puffern Preis anpassen;Schelle für Stabilisator, hinten, Golf 1 &Co, OE Ref. 171511433;70019;no;16.29;;1
SW11327;010-0018-05;Pleuelmutter, T3 1,6-1,9L bis Bj. 1985 OE Ref. 113105427;70019;yes;0.97;;1
102847;186-0080- wechsel VH wenn verfügbar;Wagenheberaufnahme vorne, Golf 2 &Co, OE Ref. 321803615;70019;no;6.72;;1
102812;307-0350-12;Stehbolzen, Kopfschraube für Kurbelgehäuse, 191mm, M12x1.5/M10, T3, OE Ref. 025101143A;70019;no;9.32;1;1
100831;320-7108;Befestigungsring für Tankeinfüllstutzen T3 OE Ref. 251201197;70019;no;4.80;;1
101632;360-4005;Sicherungsknopf Schiebetür innen T3 ab Bj. 08/1984 OE Ref. 251843670A;70019;yes;5.95;1;1
103649;350-5305-02;Dichtung Schiebetürfenster T3 ab Baujahr 08/1984 ohne Nut für Keder OE Ref. 253845322;70019;yes;16.28;1;1
102262;140-5530-20;Adapterhülse für Lenkrad, Golf 1 ab 08/90, Golf 2 ab 08/88, OE Ref. 191419514;70019;yes;0.00;2;1
SW11706;360-4015-50;Führungsrolle, Lager Schiebetür unten T3 bis Bj. 84 oder Hochraumschiebetür oben OE Ref. 251843423B;70019;yes;5.03;;1
102665;185-2680;Aufnahme für Stoßdämpfer hinten, rechts oder links, Golf 1 &Co, OE Ref. 171809119;70019;no;25.59;;1
102411;315-1068;Wellendichtring für die Schaltwelle seitlich T3 OE Ref. 020141733D;70019;yes;1.55;1;1
100765;325-4014;Halteclip für Handbremsseil an Ankerplatte, T3, OE Ref. 251609719B;70019;no;2.00;10;1
SW12770;170-1525;Gaszug, OE-Quali, für Einspritzer ab BJ84, Golf 1 GTI &Co, OE Ref. 171721555AB;70019;yes;14.27;2;1
102943;055-5000;Polsterklammern - 100 Stück;70019;no;4.89;;1
101585;180-0490-01;Blende für Frontblech offene Version Golf 1 &Co OE Ref. 171853661;70019;no;17.91;;1
101296;180-7068-01;Dichtung für Ausstellfenster der Fahrertür, Golf 1 &Co, OE Ref. 171837529B;70019;yes;62.87;2;1
101234;020-2431-08;Stützring für Lenksäule oben Golf  & Co und T3  OE Ref. 171419341;70019;no;2.80;;1
103056;180-7308;Verbindungsmuffe, schwarz, zw. Aussenschachtdichtung und Fensterführung Golf 1 OE Ref. 171837483;70019;yes;3.26;;1
101582;140-5133;Haltebügel für Lenkgetriebe, Golf 1 &Co, OE Ref. 171419875;70019;yes;5.60;;1
SW10216;180-4031;Verdeckdichtung, hinten, links Golf 1 Cabrio OE Ref. 155871369D;70019;yes;42.35;;1
101718;208-7020;Türdichtung, Golf 2 &Co, OE Ref. 191867365C;70019;no;29.90;;1
101456;133-513-471;Sechskantschraube M12x1.5x50 für Federbein Golf 1 &Co OE Ref. 133513471;70019;no;2.86;;1
102535;092-0527-10;Ablassschraube M14x1.5, T3 Benziner und Diesel OE Ref. N0297012;70019;yes;2.39;1;1
100720;208-7212;Dichtung für Seitenscheibe, ohne Nut für Keder, Golf 2, Rechts, OE Ref. 191845322;70019;no;26.89;;1
101124;315-1505;Kreuzgelenk Schaltstange am Unterboden T3 ab Bj. 08/82  OE Ref. 251711551;70019;no;3.71;;1
101253;360-4015-60-preis hinterlegen;Anschlagpuffer für Schiebetür unten T3 OE Ref. 251843312A;70019;yes;5.27;;1
103311;Scirocco 1978-50;Schlüsselbrett VW Scirocco 53 aus Edelstahl;70043;yes;16.80;1;1
102931;Caddy 14d-50;Schlüsselbrett VW Caddy 14d aus Edelstahl;70043;yes;16.80;1;1
102953;Polo 86c Coupe-50;Schlüsselbrett VW Polo 86c Coupe aus Edelstahl;70043;yes;16.80;1;1
102951;Golf 1 Cab-50;Schlüsselbrett VW Golf 1 Cabrio aus Edelstahl;70043;yes;16.80;1;1
102952;Golf 1 -50;Schlüsselbrett VW Golf 1 aus Edelstahl;70043;yes;16.80;1;1
102954;Poo 86c Steilheck-50;Schlüsselbrett VW Polo 86c Steilheck aus Edelstahl;70043;yes;16.80;1;1
102955;T3 Doka-13;Schlüsselbrett VW T3 Doka aus Edelstahl;70043;yes;16.80;1;1
102930;Golf 2-3-50;Schlüsselbrett VW Golf 2, 2-Türer aus Edelstahl;70043;yes;16.80;1;1
103313;Passat B1-Typ 32;Schlüsselbrett VW Passat 32 aus Edelstahl;70043;yes;26.00;1;1
103314;T3 Westf Hochdach;Schlüsselbrett VW T3 Westfalia Hochdach aus Edelstahl;70043;yes;26.00;1;1
102956;T3 Bus-13;Schlüsselbrett VW T3 Bus aus Edelstahl;70043;yes;26.00;1;1
103312;Scirocco 2 1981-50;Schlüsselbrett VW Scirocco 53b aus Edelstahl;70043;yes;16.80;1;1
102957;T3 Westi-13;Schlüsselbrett VW T3 Westfalia aus Edelstahl;70043;yes;26.00;1;1
SW10294;VKM-14184;Druckfedernstränge: VKM-14184 Dm (mm)14;70046;yes;6.79;;10
SW10296;VKM-13616;Druckfedernstränge: VKM-13616 Dm (mm)10,2;70046;yes;7.59;1;1
101336;DFM93368;Druckfeder für Lenksäule unten Golf 1 & Co. OE Ref. 171419343A;70046;yes;5.63;50;50
103026;VKM-14184;Druckfedernstränge: VKM-14184 Dm (mm)14;70046;yes;6.79;;1
103749;337-0102;Außenspiegel links, manuell, Golf 2 ab Bj 08/87, OE Ref. 191857507;70054;yes;15.00;1;1
100341;V10-0806;Kraftstoffpumpe für Vergaser 1,5 bis 1,8L Hubraum OE Ref. 056127025B;70054;yes;21.50;2;1
100559;12281;Ölablassschraube, M14x1.5x16, mit Dichtring, T4 Bus, OE Ref. N90288901;70054;yes;0.80;10;1
103379;58006062;Wärmetauscher, Heizung Innenraum T3 und Polo OE Ref. 867819121A;70054;yes;12.50;1;1
103484;FEB-03544;Montierhülse, Hülse für Querlenker Golf 2 &Co OE Ref. 191407190A;70054;yes;0.13;20;1
100485;83 11 1906;Auspuffgummi aus EPDM verstärkte Ausführung für T3 Diesel, OE Ref. 033251393;70054;yes;2.90;;1
100696;86.843;Flammscheibe, Wärmeschutz-und Dichtscheibe für Einspritzdüse Diesel, Golf &Co, T3, OE Ref. 068130219;70054;yes;0.25;10;1
100887;V10-70-0029;Zünd- Verteilerkappe ab 1,6L und Bj. 08/1985 T3 und Golf  OE Ref. 027905207A;70054;yes;4.20;1;1
100924;39740;Relais 167, Multifunktionsrelais, Relais für Kraftstoffpumpe, Golf &Co, OE Ref. 191906383C;70054;yes;3.40;2;1
100811;03.0137-9008.2;Bremsbacken Montagesatz für 180X30mm Bremstrommel OE Ref. 171698545;70054;yes;3.30;1;1
100445;1160107108;Traggelenk für Querlenker mit 17 mm Bolzen Golf 2 &Co bis Baujahr 07/1987 OE Ref. 191407365A;70054;yes;5.70;1;1
101293;HX 82D;Dichtungssatz mit Ölsieb für Automatikgetriebe Golf &Co  OE Ref. 010398009 A;70054;yes;12.00;2;1
